############################################################################################################
# SARS-CoV specific terms
#
# A small vocabulary of concepts related to the above. 
# Produced by SciBite Limited 2020
# Distributed under GPL
# Please retain this header in any copies of this file
# Data, licence and information at https://scibite.info/cv19
#
# Format:
# Identifier <tab> Primary Name <tab> Synonyms (separated by pipe characters)
# Hash character (#) denotes a comment
#
# NOTE: Terms ending in /* should be considered highly ambiguous and matched only where one can be sure these
# refer to SARS-CoV
#
# Please note: SciBite customers may obtain a version of this file suitable for use in TERMite, please
# contact us via the helpdesk
#
############################################################################################################
#id	name	syns	organism	organism_ncbi_ref
PR_000050262	severe acute respiratory syndrome coronavirus 2 protein	SARS2 protein | 2019-nCoV protein | SARS-CoV-2 protein	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTD3	uncharacterized protein 14 (SARS-CoV-2)	ORF14 (SARS2) |P0DTD3| PRO_0000449658 | Uncharacterized protein 14|ORF14|ORF-14	Severe acute respiratory syndrome coronavirus 2	2697049
PR_000050264	ORF8 protein, signal peptide removed form (SARS-CoV-2)	UniProtKB:P0DTC8, 16-121 | ORF8/SigPep- (SARS2) |ORF8 protein, signal peptide removed form| PRO_0000449655	Severe acute respiratory syndrome coronavirus 2	2697049
PR_000050265	protein 7a, signal peptide removed form (SARS-CoV-2)	7a/SigPep- (SARS2) | PRO_0000449654 |protein 7a, signal peptide removed form| UniProtKB:P0DTC7, 16-121	Severe acute respiratory syndrome coronavirus 2	2697049
PR_A0A663DJA2	ORF10 protein (SARS-CoV-2)	ORF10 (SARS2)|A0A663DJA2|ORF10 protein|ORF10|ORF-10	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTC9	nucleoprotein (SARS-CoV-2)	NC (SARS2) | N (SARS2) | PRO_0000449656 | nucleocapsid protein (SARS2) | protein N (SARS2)|nucleoprotein| Nucleoprotein (N)|Nucleocapsid protein|nucleocapsid gene|nucleocapsid protein (N)|nucleocapsid phosphoprotein|NC protein|Protein N|N protein|N gene|Nucleocapsid (N) protein|Nucleocapsid (N)|NC|N|P0DTC9	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTC8	ORF8 protein (SARS-CoV-2)	ORF8 (SARS2) | ns8 (SARS2)|Non-structural protein 8|Protein non-structural 8|ns8|ns-8|nsp 8|nsp8|P0DTC8|ORF8 protein	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTC7	protein 7a (SARS-CoV-2)	protein X4 (SARS2) | accessory protein 7a (SARS2) | protein U122 (SARS2) | ORF7a (SARS2)|7a|7a protein|protein 7a|7a accessory gene|7a accessory protein|P0DTC7	Severe acute respiratory syndrome coronavirus 2	2697049
PR_000050281	rep gene proteolytic cleavage product (SARS-CoV-2)	rep/ClvPrd (SARS2)|rep gene proteolytic cleavage product	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTC6	ORF6 protein (SARS-CoV-2)	accessory protein 6 (SARS2) | ns6 (SARS2) | protein X3 (SARS2) | ORF6 (SARS2) | PRO_0000449653|P0DTC6|Non-structural protein 6|ns-6|nsp 6|nsp6|Protein X3|6 accessory gene|6 accessory protein|6|ORF6 protein	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTC5	membrane protein (SARS-CoV-2)	M protein (SARS2) | membrane glycoprotein (SARS2) | E1 glycoprotein (SARS2) | matrix glycoprotein (SARS2) | M (SARS2) | PRO_0000449652|P0DTC5|Membrane protein|Membrane (M) protein|Membrane (M)|M protein|E1 glycoprotein|Matrix glycoprotein|Matrix protein (M)|Membrane glycoprotein|Matrix protein|Matrix (M) protein|Matrix (M)	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTC4	envelope small membrane protein (SARS-CoV-2)	sM protein (SARS2) | envelope protein (SARS2) | E protein (SARS2) | E (SARS2) | PRO_0000449651|P0DTC4|Envelope small membrane protein|small envelope protein (E)|small envelope protein|E protein|E gene|envelope gene|sM protein|envelope protein|envelope (E) protein|envelope (E)|E channel|E|4	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTC3	protein 3a (SARS-CoV-2)	protein U274 (SARS2) | PRO_0000449650 | ORF3a (SARS2) | protein X1 (SARS2) | accessory protein 3a (SARS2)|P0DTC3|Protein 3a|Accessory protein 3a|Protein U274|Protein X1|3a|3a protein|3a accessory gene|3a accessory protein	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTD8	protein 7b (SARS-CoV-2)	ns7b (SARS2) | accessory protein 7b (SARS2) | non-structural protein 7b (SARS2) | ORF7b (SARS2) |ORF 7b| PRO_0000449799|P0DTD8|Protein non-structural 7b|Non-structural protein 7b|protein 7b|ns7b|ns-7b|Accessory protein 7b|7b protein|nsp7b|nsp 7b|7b	Severe acute respiratory syndrome coronavirus 2	2697049
PR_P0DTD2	protein 9b (SARS-CoV-2)	PRO_0000449657 | accessory protein 9b (SARS2) | ORF-9b (SARS2) | ORF9b (SARS2)|P0DTD2|Protein 9b|Accessory protein 9b|ORF-9b|9b protein|9b accessory gene|9b accessory protein|9b	Severe acute respiratory syndrome coronavirus 2	2697049
