############################################################################################################
# SARS-CoV domain general terms
#
# A small vocabulary of concepts related to the above. 
# Produced by SciBite Limited 2020
# Distributed under GPL
# Please retain this header in any copies of this file
# Data, licence and information at https://scibite.info/cv19
#
# Format:
# Identifier <tab> Primary Name <tab> Synonyms (separated by pipe characters)
# Hash character (#) denotes a comment
#
# Please note: SciBite customers may obtain a version of this file suitable for use in TERMite, please
# contact us via the helpdesk
#
############################################################################################################
#identifier	name	syns
GO_0099016	DNA end degradation evasion by virus	DNA end degradation evasion by virus
GO_0099015	degradation of host chromosome by virus	degradation of host chromosome by virus
GO_0098045	virus baseplate assembly	virus baseplate assembly
NCBITaxon_511429	SARS coronavirus BJ182-12	SARS coronavirus BJ182-12
NCBITaxon_237639	SARS coronavirus Taiwan TC1	SARS coronavirus Taiwan TC1
VIR_0000004	zoonotic viral transmission	animal-to-human transmission | zoonotic transmission
NCBITaxon_305405	SARS coronavirus A031	SARS coronavirus A031
GO_0044423	virion part	virion part
NCBITaxon_305406	SARS coronavirus B012	SARS coronavirus B012
VIR_0000003	nosocomial viral transmission	nosocomial viral transmission
NCBITaxon_305403	SARS coronavirus A021	SARS coronavirus A021
VIR_0000002	human-to-human viral transmission	human-to-human transmission | human-to-human transmission of virus | human transmission
VIR_0000001	SARS-CoV genome	SARS-CoV-2 genome | Severe acute respiratory syndrome coronavirus genome | Severe acute respiratory syndrome coronavirus 2 genome
NCBITaxon_305404	SARS coronavirus A030	SARS coronavirus A030
NCBITaxon_305409	SARS coronavirus B033	SARS coronavirus B033
VIR_0000006	viral strain	viral strain
NCBITaxon_305407	SARS coronavirus B024	SARS coronavirus B024
NCBITaxon_305408	SARS coronavirus B029	SARS coronavirus B029
GO_0044660	cytolysis by virus via pore formation in host cell membrane	cytolysis by virus via pore formation in host cell membrane
VIR_0000005	time period	time period
NCBITaxon_292360	SARS Coronavirus CDC#200301157	SARS Coronavirus CDC#200301157
NCBITaxon_296840	SARS coronavirus PC4-199	SARS coronavirus PC4-199
GO_0046729	viral procapsid	viral procapsid
NCBITaxon_296841	SARS coronavirus PC4-241	SARS coronavirus PC4-241
GO_0046727	capsomere	capsomer
NCBITaxon_305412	SARS coronavirus C014	SARS coronavirus C014
NCBITaxon_305413	SARS coronavirus C017	SARS coronavirus C017
NCBITaxon_305410	SARS coronavirus B040	SARS coronavirus B040
NCBITaxon_305411	SARS coronavirus C013	SARS coronavirus C013
NCBITaxon_258445	SARS coronavirus GD69	SARS coronavirus GD69
NCBITaxon_237640	SARS coronavirus Taiwan TC2	SARS coronavirus Taiwan TC2
